run_id,accepted_cases,attack_type,attempted_cases,batch_size,dataset,expected,observed,rejected_cases,seed,protocol,proof_backend,ckks_parameter_digest
exact_relation_production_b1_s42,0,wrong-target,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,wrong-key,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,malformed-share,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,large-contribution-tampering,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,wrong-level,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,proof-tampering,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,replay,1,1,hateful_memes,reject,reject,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b1_s42,0,unauthorized-output,1,1,hateful_memes,refuse,refuse,1,42,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,wrong-target,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,wrong-key,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,malformed-share,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,large-contribution-tampering,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,wrong-level,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,proof-tampering,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,replay,1,32,hateful_memes,reject,reject,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b32_s43,0,unauthorized-output,1,32,hateful_memes,refuse,refuse,1,43,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,wrong-target,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,wrong-key,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,malformed-share,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,large-contribution-tampering,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,wrong-level,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,proof-tampering,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,replay,1,128,hateful_memes,reject,reject,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
exact_relation_production_b128_s44,0,unauthorized-output,1,128,hateful_memes,refuse,refuse,1,44,2-of-2,gnark-v0.15.0-groth16-bn254,"[45, 32, 32, 32, 32]"
